,AuthoDisplayName,CommentID,LikeCount,TotalReplyCount,canReplay,publishedAt,textDisplay,textOriginal,sexe,sentiments
0,Christara Sp,Ugy7TZcXLDSA9P5-ue94AaABAg,36,0,True,2017-12-14T08:24:42.000Z,He is great man :),He is great man :),female,positive
1,HENAU ANNS,UgxzwcknI9Ju1emhQvl4AaABAg,21,3,True,2017-12-13T05:30:45.000Z,I Luv Ronaldo,I Luv Ronaldo,male,neutral
2,How do you know?,UgwWDKOu9a2n7Iv-oGN4AaABAg,23,4,True,2017-12-13T11:31:03.000Z,NOT FUNNY,NOT FUNNY,male,negative
3,Bipul Debbarma,UgzYqpXB8iLMpE6GeWZ4AaABAg,25,2,True,2017-12-08T15:03:55.000Z,very funny cr7,very funny cr7,male,positive
4,muhamed haziri,Ugx7jS8aWU1_IB_mPU94AaABAg,13,1,True,2017-12-16T16:57:23.000Z,Ronaldo to the portugal coach &quot;who said you are the coach go back to the beach&quot;,"Ronaldo to the portugal coach ""who said you are the coach go back to the beach""",male,neutral
5,Νικος Βογια,UgzEQspA5pqnrua8ty54AaABAg,11,0,True,2017-12-22T17:47:10.000Z,Thats not that funny but shows what a nice person Ronaldo is,Thats not that funny but shows what a nice person Ronaldo is,male,positive
6,nima mokhtari,UgxPvqQOvatGzRyZ_lp4AaABAg,9,1,True,2017-12-14T17:31:37.000Z,it seems that you meant impossible to laugh !!,it seems that you meant impossible to laugh !!,male,negative
7,sam jabin,UgzPL0BGB0TbuFFzTAh4AaABAg,5,1,True,2017-12-31T14:27:53.000Z,Ronaldo is  soooooooo hot🔥🔥🔥🔥🔥🔥🔥🔥uffffffffff,Ronaldo is  soooooooo hot🔥🔥🔥🔥🔥🔥🔥🔥uffffffffff,male,neutral
8,Purge63 -,UgyBJfKIrrHMf3itlR14AaABAg,5,0,True,2017-12-12T08:54:09.000Z,Ha  ha  ha very funny -_-,Ha  ha  ha very funny -_-,male,positive
9,muhammed Khalid,UgyO7ApPEupP96wBxXx4AaABAg,3,0,True,2018-01-02T14:00:33.000Z,I love the part where ronaldo puts the id card of marcelo inside the hair of marcelo,I love the part where ronaldo puts the id card of marcelo inside the hair of marcelo,male,positive
10,Unknown X,UgxGVtuVv7UeEfzJenB4AaABAg,2,0,True,2017-12-08T14:12:57.000Z,Cringey Title ma boi<br />good video anyway,"Cringey Title ma boi
good video anyway",male,neutral
11,Kuku Deks,Ugzc9rhkVqFxeVcUaYZ4AaABAg,2,1,True,2017-12-30T07:22:40.000Z,So full of life. I just like him more,So full of life. I just like him more,male,positive
12,Amit Dev,UgzOu_NMIwKg7lbpdxt4AaABAg,2,0,True,2017-12-15T16:04:32.000Z,I tried but It was not funny,I tried but It was not funny,male,negative
13,Kareem Elhag,Ugx5rRyqjGISIwVE9-14AaABAg,1,0,True,2018-01-12T20:13:03.000Z,Cristiano RONALDO  IS THE BEST PLAYER IN THE WORLD 🍁⚡⚡⚡⚡🙌🙌🙌🙌🙌🙌🙌🙌🙌🙆,Cristiano RONALDO  IS THE BEST PLAYER IN THE WORLD 🍁⚡⚡⚡⚡🙌🙌🙌🙌🙌🙌🙌🙌🙌🙆,male,positive
14,TOMER ZAKEN,UgwOW2PD0O4GqezMEoJ4AaABAg,0,1,True,2017-12-11T15:18:29.000Z,מחור מהצבן,מחור מהצבן,male,neutral
15,Itz Janki,UgynhDg6oc6v81Dy59N4AaABAg,1,1,True,2017-12-09T04:30:12.000Z,Song?,Song?,female,neutral
16,Divyanshu Yadav,UgzSDjHRMUtQpXvVsPB4AaABAg,1,0,True,2018-01-08T08:17:14.000Z,"<a href=""https://www.youtube.com/watch?v=Fi30nYjeN1E&amp;t=6m57s"">6:57</a> The best one.",6:57 The best one.,male,positive
17,Kebab Remover,UgzdhUFkHk-KslpUh3N4AaABAg,4,0,True,2017-12-21T21:32:52.000Z,Ronaldo is a jerk sometimes.I LOVE IT!!!,Ronaldo is a jerk sometimes.I LOVE IT!!!,neutral,positive
18,MN FILMS,UgxjpxtcXDYTTnU44954AaABAg,1,4,True,2017-12-09T08:18:24.000Z,Underserved,Underserved,male,neutral
19,aditya srivastava,Ugyi2nB2gep-PoOuizx4AaABAg,0,0,True,2018-01-27T10:00:54.000Z,gud but not 100% impossible to control my laugh    Lol!!!!!!!!!!,gud but not 100% impossible to control my laugh    Lol!!!!!!!!!!,male,positive
20,ranjana acharya,Ugy4VDMrFn62Lj6QX214AaABAg,0,0,True,2018-01-27T08:04:07.000Z,The title should be cute moments of CR7,The title should be cute moments of CR7,female,positive
21,WERONIKA SZCZĘSNA,Ugyac4uUJQTcwe3t1uZ4AaABAg,0,0,True,2018-01-17T12:01:47.000Z,Kto z Polski xD,Kto z Polski xD,female,neutral
22,Jackie School,UgyyXqAfkuT8SReyAwd4AaABAg,0,0,True,2018-01-17T09:29:41.000Z,Ronaldo ❤ Messi 😀😀,Ronaldo ❤ Messi 😀😀,male,neutral
23,Rafael Martinez Romo,Ugx0IuMpBysgyGYYfGR4AaABAg,0,0,True,2018-01-16T20:21:10.000Z,He just loves to move xD,He just loves to move xD,male,neutral
24,tanish Krishna,UgwgxdEujfRZu4L-ROt4AaABAg,0,0,True,2018-01-16T12:05:07.000Z,i did not laugh,i did not laugh,male,negative
25,Jagdeep Khalsa,UgydlYwL5d8eQDW46E54AaABAg,0,0,True,2018-01-14T15:59:40.000Z,i subscribed....,i subscribed....,male,neutral
26,Harkirat Kaur,UgyRVWBQ0YeA6isNqq94AaABAg,0,0,True,2018-01-14T14:11:10.000Z,Its not funny but ronaldo is a happy person,Its not funny but ronaldo is a happy person,female,positive
27,Mc. Rohan,UgxsHa9ADL5nntSVW2Z4AaABAg,0,0,True,2018-01-11T10:31:16.000Z,Cr7forlife,Cr7forlife,male,neutral
28,KARANSHROFF28,Ugw8IlpuDEjFvKybPIR4AaABAg,0,0,True,2018-01-10T05:47:26.000Z,I succeeded in not laughing. I think I slept off looking for humour,I succeeded in not laughing. I think I slept off looking for humour,female,neutral
29,Fabi Edits,UgxBWvO5jayR3uCfRG14AaABAg,0,0,True,2018-01-06T20:50:59.000Z,😂😂😂😂😂😏,😂😂😂😂😂😏,male,neutral
30,Rohit Bhagwat,UgxRDA6LoQWMnLV7ruh4AaABAg,0,0,True,2018-01-06T13:44:27.000Z,Kuch hasna nahi aaia but Rinaldo great man,Kuch hasna nahi aaia but Rinaldo great man,male,positive
31,SHK. ABDULLA,Ugyf4Kjtvb9wD0oDJHN4AaABAg,0,0,True,2018-01-06T10:08:32.000Z,funny,funny,male,positive
32,Ivan Ivan,UgxOGF4lINICGw_Wm894AaABAg,0,0,True,2018-01-06T08:25:12.000Z,Mnogo je smesno.,Mnogo je smesno.,male,neutral
33,sudizya shrestha,UgxfrYIaNLPvsYzne9N4AaABAg,0,0,True,2018-01-05T17:17:58.000Z,Best friend 💗💗💗,Best friend 💗💗💗,female,positive
34,bipin ale,UgzVVNaSVgYdW49KQhR4AaABAg,0,0,True,2018-01-05T12:00:04.000Z,i miss all these stars nowadays,i miss all these stars nowadays,male,neutral
35,ishu Boro,Ugx7LniXINbRWpoe1kl4AaABAg,0,0,True,2018-01-03T09:58:36.000Z,im trying to laugh,im trying to laugh,neutral,positive
36,margerita Lasala,Ugy55mlbcr1msdMVwYF4AaABAg,0,0,True,2018-01-01T21:46:12.000Z,Jajaja very funny cr7,Jajaja very funny cr7,female,positive
37,Triple W,Ugx8omQTj9pxFdiJLfZ4AaABAg,0,0,True,2018-01-01T02:19:44.000Z,Song,Song,male,neutral
38,Irshad Nagdir,Ugz7E7u-Vya1vLXJqrZ4AaABAg,0,0,True,2017-12-30T13:49:43.000Z,😂😂😂😂😂😂😂,😂😂😂😂😂😂😂,male,neutral
39,Anonimul 303,UgwJHQnGXGSkSoTtrrN4AaABAg,0,0,True,2017-12-28T08:36:49.000Z,Is not funny,Is not funny,male,negative
40,Val10,UgzTwEcCKFA1iLzXYYl4AaABAg,0,0,True,2017-12-21T11:52:24.000Z,IT 🙅 Not Funny man😑👎,IT 🙅 Not Funny man😑👎,male,negative
