,AuthoDisplayName,CommentID,LikeCount,TotalReplyCount,canReplay,publishedAt,textDisplay,textOriginal,sexe,sentiments
0,devingraham,UgwFKzAMvbyS-TWi5Id4AaABAg,21,15,True,2018-01-26T22:25:24.000Z,"Sorry I can&#39;t answer every question, but here&#39;s a question I get asked a LOT! Next week will be focused on the Glidecam, just so you know!  :)","Sorry I can't answer every question, but here's a question I get asked a LOT! Next week will be focused on the Glidecam, just so you know!  :)",male,negative
1,Quantay Peoples,UgyaPv3EBGBH-keXilN4AaABAg,0,0,True,2018-01-27T16:29:30.000Z,only a f/1.4? ehh...,only a f/1.4? ehh...,male,neutral
2,Nitin Arun,UgyOYrUoV5pTkzne9oh4AaABAg,0,0,True,2018-01-27T15:53:39.000Z,How do you implement GoPro footage into your videos ?,How do you implement GoPro footage into your videos ?,male,neutral
3,Marvin Finkbeiner,UgwocwhI80nl3sZozzZ4AaABAg,0,0,True,2018-01-27T15:15:41.000Z,Where did you order these amazing pictures on your office wall. And can you tell us the material and the resolution pls.,Where did you order these amazing pictures on your office wall. And can you tell us the material and the resolution pls.,male,positive
4,Alaric Sim,UgymRWgqkwZAubpT2y14AaABAg,0,0,True,2018-01-27T15:13:34.000Z,Camera movement tutorials!,Camera movement tutorials!,male,neutral
5,Geoff Lee,Ugw3qpADeUuS0UVaLf54AaABAg,0,0,True,2018-01-27T15:02:21.000Z,what Nd filter do u use?,what Nd filter do u use?,male,neutral
6,Connor Greening,UgyykxoWFfbM8Vj0zEl4AaABAg,0,0,True,2018-01-27T14:15:17.000Z,How to film a wedding,How to film a wedding,male,neutral
7,TheRainydayvideo,Ugzfh7QutJOmEKXuk1J4AaABAg,2,0,True,2018-01-27T14:01:20.000Z,"I can only dream of having a lens like that, I&#39;ve certainly got a wishlist of gear.","I can only dream of having a lens like that, I've certainly got a wishlist of gear.",male,positive
8,KaZaP13-613,Ugzeuvu0ZQw8SJtO9Lh4AaABAg,0,0,True,2018-01-27T13:30:36.000Z,Great vid love the shots you get.,Great vid love the shots you get.,male,positive
9,Andrew Sample,Ugz-w5f0rPChEsujm2V4AaABAg,0,0,True,2018-01-27T13:03:26.000Z,You said that you&#39;re not able to put a filter on it? What is that slide for that&#39;s in the back?,You said that you're not able to put a filter on it? What is that slide for that's in the back?,male,negative
10,Nguyen Phuc,UgyPH2r_260Xxz5di_J4AaABAg,0,0,True,2018-01-27T12:34:29.000Z,Perfect Devin!,Perfect Devin!,male,positive
11,Hench Marcin,Ugy1ZbXB8oK--EQt3It4AaABAg,1,0,True,2018-01-27T12:32:00.000Z,what about the negative points which Peter McKinnon <br />has point it out in his video ?,"what about the negative points which Peter McKinnon 
has point it out in his video ?",female,negative
12,the guy,Ugy2JUn2YsxZcVz-ZSZ4AaABAg,0,1,True,2018-01-27T11:36:09.000Z,A7s ii or a7r iii <br />Which on is better for video shooting,"A7s ii or a7r iii 
Which on is better for video shooting",male,positive
13,Hugh Guthrie,Ugzs79us_QHcFN4TGBd4AaABAg,2,1,True,2018-01-27T11:20:47.000Z,How can you expose properly without NDs??,How can you expose properly without NDs??,male,neutral
14,FJcam Video Productions,Ugz5KymETAF5xXYxduJ4AaABAg,0,0,True,2018-01-27T10:38:52.000Z,"<a href=""https://youtu.be/5-ZBvCQpQK8"">https://youtu.be/5-ZBvCQpQK8</a>",https://youtu.be/5-ZBvCQpQK8,male,neutral
15,Hamza XD,UgzhTa8KSRUvdaRG-hV4AaABAg,0,0,True,2018-01-27T10:11:38.000Z,&amp; I am Still Having Canon 70-300MM 😒,& I am Still Having Canon 70-300MM 😒,male,neutral
